revision_id,claim_id,original_claim,verification_status,recommended_revision,reason,priority
CRR-0001,PA2025-001,Dr. John Dwyer of Royal Adelaide Hospital was the lead pathologist in the original autopsy.,Partially Verified,Revise to: Dr John Matthew Dwyer gave postmortem/autopsy evidence at the 1949 inquest.,"p.37 names John Matthew Dwyer and his medical evidence; source supports Dwyer as key postmortem witness but not the wording ""lead pathologist"" as such.",High
CRR-0002,PA2025-002,"The original findings included congested liver, spleen, brain, and kidneys.",Verified,Revise only if exact organ list differs after official-copy review.,"Dwyer evidence records extensive congestion including liver, spleen and brain; kidney wording requires page-level confirmation but organs are discussed in the same medical evidence.",Medium
CRR-0003,PA2025-003,The stomach was full of blood and food and was interpreted as consistent with poisoning.,Partially Verified,Revise to separate observed stomach contents from interpretation about poisoning.,"Inquest records a deeply congested stomach and blood mixed with food. Poison was considered, but analyst evidence found no common poison and one expert view favored natural causes over poisoning.",High
CRR-0004,PA2025-004,No visible injuries or trauma were observed.,Partially Verified,Revise to: no decisive traumatic cause was recorded in reviewed inquest evidence.,"Available OCR supports no obvious violent death evidence in reviewed inquest passages, but the exact phrase no visible injuries or trauma was not located as a standalone finding.",High
CRR-0005,PA2025-005,No alcohol was detected.,Unable to Verify,Do not state until toxicology report/autopsy pages are reviewed directly.,No primary-source passage confirming alcohol testing was located in acquired material.,Medium
CRR-0006,PA2025-006,"The 1948-1949 chemical screens checked blood, urine, and tissue for barbiturates, opiates, cyanide, carbon monoxide, and other toxins.",Partially Verified,Revise to: Cowan tested submitted specimens for common poisons; list analytes only when explicitly sourced.,"Cowan evidence states specimens of stomach contents, liver, muscle, blood and urine were examined and common poisons tested; specific list in claim is broader than located evidence.",High
CRR-0007,PA2025-007,The listed toxicology screens were negative.,Partially Verified,Revise to: tests for common poisons were negative.,Cowan evidence says he was unable to find signs of any common poison; claim is too broad if applied to all listed toxins.,High
CRR-0008,PA2025-008,Digitalis was suspected as a possible poison and would have been nearly undetectable with 1940s methods.,Unsupported,"Move to later forensic-literature review, not primary-source claim.",Acquired primary sources reviewed do not support digitalis as specifically suspected or undetectable.,High
CRR-0009,PA2025-009,"Strophanthin was a possible poison, difficult to detect, and rare in Australia.",Unsupported,Requires toxicology literature/source outside current primary archive.,No acquired primary source supports strophanthin rarity/detectability claim.,High
CRR-0010,PA2025-010,"Aconitine, scopolamine, rare alkaloids, or exotic agents were possible causes.",Unsupported,Keep only as hypothesis lead if supported later.,No acquired primary source supports this list of possible exotic agents.,High
CRR-0011,PA2025-011,"No container, residue, or administration method was found.",Partially Verified,Revise to: reviewed inquest passages do not identify a poison container or administration method.,Reviewed inquest inventory lists carried items but does not show a poison container/residue/administration method; absence is not a complete proof across all property records.,High
CRR-0012,PA2025-012,The official cause of death was left unknown.,Verified,Revise to: precise medical cause remained undetermined in available coronial material.,Coroner evidence records inability to identify a specific cause while finding death not natural/probably poison; death certificate copy concerns unknown man.,Medium
CRR-0013,PA2025-013,"Jessica Thomson, also known as Jestyn, lived near Somerton Beach.",Unable to Verify,Acquire electoral rolls/directories/police interview notes.,Jetty Road extract does not by itself verify Jessica Thomson residence in relation to Somerton Beach.,Medium
CRR-0014,PA2025-014,A phone number found in a Rubaiyat copy was linked to Jessica Thomson.,Partially Verified,Do not state as verified until police-file pages are manually transcribed.,Primary-source reproductions likely relate to Rubaiyat/phone lead but require visual page review; no OCR-supported passage was extracted.,High
CRR-0015,PA2025-015,Jessica Thomson denied knowing the deceased but reportedly showed visible shock during police interview.,Unable to Verify,Acquire interview notes or reliable transcript.,No acquired primary-source passage records Jessica Thomson interview behavior or denial.,Medium
CRR-0016,PA2025-016,Robin Thomson bore a strong physical resemblance to the Somerton Man.,Unsupported,Requires image-comparison source; avoid claim wording.,No acquired primary material verifies resemblance claim.,High
CRR-0017,PA2025-017,DNA later confirmed a partial link involving Robin Thomson.,Unsupported,Requires FSSA/SAPOL or published genetic-genealogy evidence.,No acquired primary forensic/DNA report verifies partial DNA link involving Robin Thomson.,High
CRR-0018,PA2025-018,The victim may have held or used a Melbourne-Adelaide train ticket.,Unsupported,Remove or mark as separate unverified lead.,"Acquired inquest evidence supports Henley Beach ticket and bus ticket, not a Melbourne-Adelaide train ticket.",High
CRR-0019,PA2025-019,An unused Henley Beach train ticket was associated with the case.,Verified,Revise to: an uncancelled Adelaide-to-Henley Beach railway ticket was associated with the body.,Inquest records a single uncancelled railway ticket from Adelaide to Henley Beach and ticket-clerk evidence.,Medium
CRR-0020,PA2025-020,There were no confirmed friends or close contacts in Adelaide.,Unable to Verify,Requires police canvassing records; do not assert negative as fact.,No acquired source proves absence of friends/contacts in Adelaide.,Medium
CRR-0021,PA2025-021,There was no confirmed family in South Australia.,Unable to Verify,Requires police identification and genealogical records.,No acquired source proves absence of family in South Australia.,Medium
CRR-0022,PA2025-022,No proven links existed to criminal or intelligence circles.,Unsupported,Do not state as factual without archive search criteria.,No acquired source reviews criminal/intelligence links.,High
CRR-0023,PA2025-023,Forensic genealogists used hair from the death mask and exhumed remains in or after 2021.,Unsupported,Requires 2021+ official/research documentation.,No acquired source verifies hair from death mask/exhumed remains used by forensic genealogists.,High
CRR-0024,PA2025-024,"A family tree built from distant relatives identified Carl or Charles Webb, born 1905 in Melbourne, as the best fit.",Unsupported,Requires DNA methodology source.,Fingerprint/tooth charts do not verify DNA family-tree identification.,High
CRR-0025,PA2025-025,Carl Webb was an electrical engineer or instrument maker.,Unable to Verify,Acquire directories/electoral/employment records.,"Directories may help, but no acquired material verifies Webb occupation.",Medium
CRR-0026,PA2025-026,Carl Webb separated from his wife around the time of disappearance.,Unable to Verify,Acquire civil and court records.,No divorce/marriage/court source acquired.,Medium
CRR-0027,PA2025-027,Carl Webb had no known direct offspring.,Unable to Verify,Acquire family tree/civil records.,No genealogy source acquired.,Medium
CRR-0028,PA2025-028,There was a possible indirect DNA link to Robin Thomson.,Unsupported,Requires DNA report.,No acquired primary DNA evidence supports indirect DNA link claim.,High
CRR-0029,PA2025-029,Carl Webb's family was unaware of an Adelaide connection.,Unable to Verify,Acquire interview/source statement if legally usable.,No family-statement source acquired.,Medium
CRR-0030,PA2025-030,Carl Webb disappeared from records after 1947.,Unable to Verify,Acquire directories/electoral/civil records.,No acquired records track Webb after 1947.,Medium
CRR-0031,PA2025-031,Released Venona cables contain no direct reference to a Somerton-related death as of 2024.,Unable to Verify,Separate intelligence archive search required.,Venona corpus not acquired/reviewed in Mission 4 archive.,Medium
CRR-0032,PA2025-032,Soviet cipher traffic was high in Australia after World War II.,Unable to Verify,Use NAA/ASIO/Venona sources in later context review.,No primary intelligence traffic source acquired.,Medium
CRR-0033,PA2025-033,No declassified ASIO or MI5 document explicitly references Webb or Somerton Man by name or alias.,Unable to Verify,Cannot verify a negative without search log and corpus.,No comprehensive ASIO/MI5 search record acquired.,Medium
CRR-0034,PA2025-034,Agent elimination and message killings occurred in other Commonwealth countries at the time.,Unsupported,Remove from factual matrix or source separately.,No acquired source verifies comparative Commonwealth message killings at the time.,High
CRR-0035,PA2025-035,"No open-source codeword, phrase, or signal is directly linked to Tamam Shud.",Unable to Verify,Requires defined search corpus.,No cryptographic corpus/source acquired to verify negative.,Medium
CRR-0036,PA2025-036,The Rubaiyat was sometimes used as a codebook in pre-digital cryptography.,Unsupported,Requires documented cryptographic examples.,No acquired source proves Rubaiyat use as codebook in agencies.,High
CRR-0037,PA2025-037,"The deceased was middle-aged, professionally skilled, neatly dressed, clean, and well groomed.",Partially Verified,Split appearance/age from later identity/occupation claim.,Inquest supports clothing of fairly good quality and middle-aged male. Professional skill is not supported by 1949 primary sources.,High
CRR-0038,PA2025-038,Extreme care was taken to remove identifying material.,Partially Verified,Revise to avoid motive: identifying tags appeared removed; timing/actor unknown.,Coroner says tags that might identify him had been removed; witness/examiner evidence notes tags appeared removed but no threads showed recent removal.,High
CRR-0039,PA2025-039,There were no clear signs of long-term suicide planning.,Unsupported,Analytical claim; not verified in Mission 4.,No acquired source evaluates suicide planning.,High
CRR-0040,PA2025-040,"If self-administered poisoning occurred, it involved unusually high operational security.",Unsupported,Move to analytical confidence register only after evidence review.,Operational-security characterization is analytical and unsupported by acquired primary evidence.,High
CRR-0041,PA2025-041,"If externally administered, the victim may have been lured or incapacitated.",Unsupported,"Keep as hypothesis, not claim.",Speculative scenario not supported by acquired primary sources.,High
CRR-0042,PA2025-042,"The body appeared posed, calm, or peaceful.",Partially Verified,Revise to body-position facts only.,Inquest describes body position and witness observations; words posed/calm/peaceful are interpretive.,High
CRR-0043,PA2025-043,The Tamam Shud slip was hidden rather than displayed.,Verified,Revise to: slip was found in trouser fob pocket; do not infer intended concealment.,Inquest states Tamam Shud paper was in the fob pocket and not found for some time.,Medium
CRR-0044,PA2025-044,A Rubaiyat book associated with the case had a torn page and writing inside the back cover.,Partially Verified,Separate torn-page match from code-writing evidence.,Inquest supports paper torn from Rubaiyat edition; code image shows letter strings. Full claim about writing inside back cover requires provenance review of image/book.,High
CRR-0045,PA2025-045,"Somerton Beach was quiet, visible, and suitable for staged discovery.",Unsupported,Do not use as fact.,Suitability for staged discovery is analytical and unsupported by acquired primary sources.,High
CRR-0046,PA2025-046,"Modern mass spectrometry could potentially detect preserved poison traces in hair, tissue, or embalmed remains.",Unsupported,Requires forensic expert/literature source.,Modern mass spectrometry possibility not addressed in acquired primary sources.,High
CRR-0047,PA2025-047,Isotope analysis might assist with geographic origin of last meals or water source.,Unsupported,Requires forensic expert/literature source.,Isotope-analysis possibility not addressed in acquired primary sources.,High
CRR-0048,PA2025-048,"Clothing fibers, microparticles, pollen, or sand might support travel or location analysis.",Unsupported,Requires preserved-evidence status and forensic source.,Trace fiber/pollen/sand possibility not addressed in acquired primary sources.,High
CRR-0049,PA2025-049,The Rubaiyat letter strings are too brief for ordinary frequency analysis.,Unsupported,Requires cryptanalytic assessment.,Image shows short letter strings but does not itself verify cryptanalytic frequency-analysis claim.,High
CRR-0050,PA2025-050,The Rubaiyat writing may be a one-time pad or book cipher.,Unsupported,Keep as hypothesis.,Image does not verify one-time pad/book-cipher hypothesis.,High
CRR-0051,PA2025-051,No solution has been accepted by cryptographic authorities as of 2024.,Unable to Verify,Define authority set and source search.,No corpus of cryptographic-authority statements acquired.,Medium
CRR-0052,PA2025-052,The Somerton Man death in December 1948 overlapped with the Berlin Blockade.,Unable to Verify,Verify from historical chronology sources later.,Berlin Blockade source not acquired in Mission 4 primary archive.,Medium
CRR-0053,PA2025-053,ASIO was established in March 1949.,Unable to Verify,Verify in context-source matrix if needed.,Official ASIO source was catalogued in Mission 2 but not part of acquired primary-source review set used here.,Medium
CRR-0054,PA2025-054,Five Eyes intelligence sharing was formalized between 1948 and 1950.,Unable to Verify,Requires official/scholarly source.,No official Five Eyes chronology source acquired/reviewed here.,Medium
CRR-0055,PA2025-055,Woomera and Maralinga were sensitive defense or atomic sites relevant to foreign intelligence interest.,Unable to Verify,Verify separately with NAA/official defence records.,No defence-site primary record reviewed here; Maralinga chronology especially needs care.,Medium
CRR-0056,PA2025-056,"Adelaide was geographically close to defense installations, research facilities, and military hubs.",Unable to Verify,Verify with maps/official records.,No geographic/defence-location source reviewed here.,Medium
CRR-0057,PA2025-057,"Press coverage may show editorial shifts, contradictions, planted stories, suppression, or deliberate ambiguity.",Unable to Verify,Build media corpus separately.,No newspaper corpus coding was performed; claim is an investigative question.,Medium
CRR-0058,PA2025-058,"Handwriting in the Rubaiyat should be compared with samples from Carl Webb, Jessica Thomson, and other persons of interest.",Unsupported,Do not present as evidence yet.,Code image can support future handwriting comparison but no comparison samples/results acquired.,High
CRR-0059,PA2025-059,"Carl Webb's pre-death behavior should be reviewed for isolation, travel, relationship breakdown, financial or legal stress.",Unable to Verify,"Acquire civil, employment, legal records.",No Webb biographical/legal records acquired.,Medium
CRR-0060,PA2025-060,Technical skills and limited close ties could have made a person attractive for intelligence recruitment.,Unsupported,Do not use as fact.,Intelligence recruitment attractiveness is analytical and unsupported by acquired primary sources.,High
CRR-0061,PA2025-061,AI or machine-learning tools could be applied to the Rubaiyat letter strings for pattern testing.,Unsupported,Keep as future research method.,"Image can support future testing, but no AI/ML analysis protocol or result exists.",High
CRR-0062,PA2025-062,"The case should be compared with Krivitsky, Isdal Woman, Markov, Litvinenko, and other ambiguous or intelligence-linked deaths.",Partially Verified,Revise to: comparative source material for selected related cases exists.,"Comparative records for Mangnoson/Marshall were acquired, but no systematic comparison with all named cases was performed.",High
CRR-0063,PA2025-063,"November 30, 1948 was identified as the evening the man was last seen alive.",Verified,Revise to: witnesses reported seeing a man at the site on evening 30 Nov 1948.,Inquest remarks state a man was seen at 7 p.m. on 30 Nov where body was later found; further witness detail in file.,Medium
CRR-0064,PA2025-064,"December 1, 1948 was identified as the date the body was discovered.",Verified,Use as core chronology fact.,Inquest states body found about 7 a.m. on 1 Dec 1948 at Somerton; death certificate also records date/place.,Medium
CRR-0065,PA2025-065,The Tamam Shud note and book were found during December 1948-1949.,Partially Verified,Revise to separate slip discovery from book recovery and mark exact dates pending.,"Inquest supports Tamam Shud slip and Rubaiyat link, but exact discovery dates for note and book remain unresolved.",High
CRR-0066,PA2025-066,"Key case locations include Somerton Beach, Jessica Thomson's residence, Adelaide railway station, Woomera Rocket Range, and Maralinga.",Partially Verified,Remove Woomera/Maralinga from key case locations unless direct source found.,Somerton Beach and Adelaide/Henley/Glenelg locations are supported; Woomera and Maralinga are not supported as case locations by primary case records.,High
CRR-0067,PA2025-067,"Leaving a body or message could warn insiders, silence defectors, demonstrate reach, or disrupt rival operations.",Unsupported,Retain only as hypothesis if at all.,Speculative counterintelligence scenario unsupported by acquired primary sources.,High
CRR-0068,PA2025-068,Local authorities or intelligence agencies may have deflected focus away from espionage for political reasons.,Unsupported,Do not state without documentary evidence.,No acquired evidence supports authority deflection from espionage.,High
CRR-0069,PA2025-069,Carl Webb had a connection to the J.C. Williamson theater company.,Unable to Verify,Acquire Webb employment/family records.,No J.C. Williamson/employment source acquired.,Medium
CRR-0070,PA2025-070,"Tibor Kaldor was a linguist, recent migrant, and had cryptographic skills.",Unable to Verify,Acquire records before using.,No Tibor Kaldor biographical source acquired.,Medium
CRR-0071,PA2025-071,Tibor Kaldor's death may suggest a broader clandestine network or cleanup operation.,Unsupported,Do not use as fact.,Speculative Kaldor network/cleanup scenario unsupported.,High
CRR-0072,PA2025-072,"Webb's psychological profile involved trauma, isolation, and artistic temperament.",Unsupported,Avoid profile claims.,No Webb psychological/biographical primary evidence acquired.,High
CRR-0073,PA2025-073,"Relationships involving Jessica Thomson, Robin Thomson, and others may have created leverage or blackmail opportunities.",Unsupported,Do not publish without strong evidence.,Speculative leverage/blackmail claim unsupported and sensitive.,High
CRR-0074,PA2025-074,The case may involve both personal and operational motives.,Unsupported,"Keep only in hypothesis register, not factual claim matrix.",Integrated motive hypothesis unsupported by primary evidence assessment.,High
CRR-0075,PA2025-075,"The case is best understood within a matrix of paranoia, covert rivalry, and operational ambiguity.",Unsupported,Do not use in evidence-backed dossier until analysis phase.,Analytical summary unsupported as factual claim; requires later synthesis after verification.,High
