claim_id,category,claim_text,claim_type,source_origin,source_id,verification_status,confidence,priority,next_action,notes
PA2025-001,toxicology,"Dr. John Dwyer of Royal Adelaide Hospital was the lead pathologist in the original autopsy.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate autopsy and inquest records,"Extracted from attached prior assessment; not independently verified."
PA2025-002,toxicology,"The original findings included congested liver, spleen, brain, and kidneys.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate autopsy report,
PA2025-003,toxicology,"The stomach was full of blood and food and was interpreted as consistent with poisoning.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate autopsy and toxicology records,
PA2025-004,toxicology,"No visible injuries or trauma were observed.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate autopsy and scene records,
PA2025-005,toxicology,"No alcohol was detected.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate toxicology report,
PA2025-006,toxicology,"The 1948-1949 chemical screens checked blood, urine, and tissue for barbiturates, opiates, cyanide, carbon monoxide, and other toxins.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate toxicology methodology,
PA2025-007,toxicology,"The listed toxicology screens were negative.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate toxicology report,
PA2025-008,toxicology,"Digitalis was suspected as a possible poison and would have been nearly undetectable with 1940s methods.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Check forensic toxicology literature and original remarks,
PA2025-009,toxicology,"Strophanthin was a possible poison, difficult to detect, and rare in Australia.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Check toxicology literature and local availability,
PA2025-010,toxicology,"Aconitine, scopolamine, rare alkaloids, or exotic agents were possible causes.",hypothesis,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Assess against symptoms and detectability,
PA2025-011,toxicology,"No container, residue, or administration method was found.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check property and scene inventories,
PA2025-012,toxicology,"The official cause of death was left unknown.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate death certificate and inquest finding,
PA2025-013,person,"Jessica Thomson, also known as Jestyn, lived near Somerton Beach.",person_location_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check electoral rolls and police records,
PA2025-014,evidence,"A phone number found in a Rubaiyat copy was linked to Jessica Thomson.",evidence_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate police records on Rubaiyat copy,
PA2025-015,witness,"Jessica Thomson denied knowing the deceased but reportedly showed visible shock during police interview.",witness_behavior_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate interview notes and source history,
PA2025-016,dna,"Robin Thomson bore a strong physical resemblance to the Somerton Man.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Find basis and imagery/source comparisons,
PA2025-017,dna,"DNA later confirmed a partial link involving Robin Thomson.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate DNA study or expert statement,
PA2025-018,transport,"The victim may have held or used a Melbourne-Adelaide train ticket.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check property records and ticket evidence,
PA2025-019,transport,"An unused Henley Beach train ticket was associated with the case.",evidence_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check property inventory,
PA2025-020,social_network,"There were no confirmed friends or close contacts in Adelaide.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Review police canvassing and witness records,
PA2025-021,social_network,"There was no confirmed family in South Australia.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Check genealogical and police records,
PA2025-022,social_network,"No proven links existed to criminal or intelligence circles.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Define proof standard and review records,
PA2025-023,dna,"Forensic genealogists used hair from the death mask and exhumed remains in or after 2021.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate DNA methodology statements,
PA2025-024,dna,"A family tree built from distant relatives identified Carl or Charles Webb, born 1905 in Melbourne, as the best fit.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate DNA announcement and supporting records,
PA2025-025,person,"Carl Webb was an electrical engineer or instrument maker.",biographical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check employment, directories, and family records,
PA2025-026,person,"Carl Webb separated from his wife around the time of disappearance.",biographical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check divorce, court, and family records,
PA2025-027,dna,"Carl Webb had no known direct offspring.",biographical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Check genealogical records,
PA2025-028,dna,"There was a possible indirect DNA link to Robin Thomson.",hypothesis,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Clarify DNA relationship claim,
PA2025-029,person,"Carl Webb's family was unaware of an Adelaide connection.",biographical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Locate family statements,
PA2025-030,person,"Carl Webb disappeared from records after 1947.",biographical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check electoral, employment, legal, and vital records,
PA2025-031,intelligence,"Released Venona cables contain no direct reference to a Somerton-related death as of 2024.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Search released Venona archives,
PA2025-032,intelligence,"Soviet cipher traffic was high in Australia after World War II.",historical_context_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Check intelligence histories and archives,
PA2025-033,intelligence,"No declassified ASIO or MI5 document explicitly references Webb or Somerton Man by name or alias.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Search ASIO, NAA, and UK files,
PA2025-034,intelligence,"Agent elimination and message killings occurred in other Commonwealth countries at the time.",historical_context_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Define examples and verify,
PA2025-035,cryptography,"No open-source codeword, phrase, or signal is directly linked to Tamam Shud.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Review cryptographic literature and archives,
PA2025-036,cryptography,"The Rubaiyat was sometimes used as a codebook in pre-digital cryptography.",historical_context_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Locate documented examples,
PA2025-037,behavior,"The deceased was middle-aged, professionally skilled, neatly dressed, clean, and well groomed.",behavioral_observation,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check autopsy, photos, clothing records,
PA2025-038,behavior,"Extreme care was taken to remove identifying material.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check clothing and property inventory,
PA2025-039,behavior,"There were no clear signs of long-term suicide planning.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Define evidentiary basis,
PA2025-040,behavior,"If self-administered poisoning occurred, it involved unusually high operational security.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Test against suicide and poisoning cases,
PA2025-041,behavior,"If externally administered, the victim may have been lured or incapacitated.",hypothesis,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Identify supporting and disconfirming evidence,
PA2025-042,scene,"The body appeared posed, calm, or peaceful.",behavioral_observation,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check scene photos and witness accounts,
PA2025-043,evidence,"The Tamam Shud slip was hidden rather than displayed.",evidence_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check property and garment records,
PA2025-044,evidence,"A Rubaiyat book associated with the case had a torn page and writing inside the back cover.",evidence_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate police records and photographs,
PA2025-045,location,"Somerton Beach was quiet, visible, and suitable for staged discovery.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Assess historical location context,
PA2025-046,forensics,"Modern mass spectrometry could potentially detect preserved poison traces in hair, tissue, or embalmed remains.",forensic_possibility,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Consult forensic toxicology experts,
PA2025-047,forensics,"Isotope analysis might assist with geographic origin of last meals or water source.",forensic_possibility,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,low,Assess feasibility and sample availability,
PA2025-048,forensics,"Clothing fibers, microparticles, pollen, or sand might support travel or location analysis.",forensic_possibility,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Check evidence preservation status,
PA2025-049,cryptography,"The Rubaiyat letter strings are too brief for ordinary frequency analysis.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Review cryptanalytic assessments,
PA2025-050,cryptography,"The Rubaiyat writing may be a one-time pad or book cipher.",hypothesis,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Review cipher analyses and test protocols,
PA2025-051,cryptography,"No solution has been accepted by cryptographic authorities as of 2024.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Define authority set and review literature,
PA2025-052,context,"The Somerton Man death in December 1948 overlapped with the Berlin Blockade.",timeline_context_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Verify dates and relevance,
PA2025-053,context,"ASIO was established in March 1949.",historical_context_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check official ASIO history,
PA2025-054,context,"Five Eyes intelligence sharing was formalized between 1948 and 1950.",historical_context_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Check official and scholarly histories,
PA2025-055,context,"Woomera and Maralinga were sensitive defense or atomic sites relevant to foreign intelligence interest.",historical_context_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Verify chronology and relevance,
PA2025-056,context,"Adelaide was geographically close to defense installations, research facilities, and military hubs.",historical_context_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Define locations and dates,
PA2025-057,media,"Press coverage may show editorial shifts, contradictions, planted stories, suppression, or deliberate ambiguity.",investigative_question,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Build newspaper corpus and coding protocol,
PA2025-058,document_analysis,"Handwriting in the Rubaiyat should be compared with samples from Carl Webb, Jessica Thomson, and other persons of interest.",investigative_question,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Identify known handwriting samples,
PA2025-059,psychology,"Carl Webb's pre-death behavior should be reviewed for isolation, travel, relationship breakdown, financial or legal stress.",investigative_question,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Locate biographical and legal records,
PA2025-060,intelligence,"Technical skills and limited close ties could have made a person attractive for intelligence recruitment.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,low,Review recruitment literature,
PA2025-061,cryptography,"AI or machine-learning tools could be applied to the Rubaiyat letter strings for pattern testing.",investigative_question,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,low,Define reproducible test protocol,
PA2025-062,comparative,"The case should be compared with Krivitsky, Isdal Woman, Markov, Litvinenko, and other ambiguous or intelligence-linked deaths.",investigative_question,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,low,Create comparison criteria and source list,
PA2025-063,timeline,"November 30, 1948 was identified as the evening the man was last seen alive.",timeline_item,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check witness and police chronology,
PA2025-064,timeline,"December 1, 1948 was identified as the date the body was discovered.",timeline_item,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check police, coronial, and newspaper records,
PA2025-065,timeline,"The Tamam Shud note and book were found during December 1948-1949.",timeline_item,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Establish exact dates from records,
PA2025-066,location,"Key case locations include Somerton Beach, Jessica Thomson's residence, Adelaide railway station, Woomera Rocket Range, and Maralinga.",location_list,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Verify relevance and chronology for each location,
PA2025-067,counterintelligence,"Leaving a body or message could warn insiders, silence defectors, demonstrate reach, or disrupt rival operations.",speculative_scenario,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,low,Treat only as scenario until evidence exists,
PA2025-068,counterintelligence,"Local authorities or intelligence agencies may have deflected focus away from espionage for political reasons.",hypothesis,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,low,Seek documentary evidence before use,
PA2025-069,person,"Carl Webb had a connection to the J.C. Williamson theater company.",biographical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Locate employment or family records,
PA2025-070,person,"Tibor Kaldor was a linguist, recent migrant, and had cryptographic skills.",biographical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Locate records and reliable biographies,
PA2025-071,comparative,"Tibor Kaldor's death may suggest a broader clandestine network or cleanup operation.",speculative_scenario,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,low,Require strong evidence before inclusion,
PA2025-072,psychology,"Webb's psychological profile involved trauma, isolation, and artistic temperament.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Locate primary biographical evidence,
PA2025-073,social_network,"Relationships involving Jessica Thomson, Robin Thomson, and others may have created leverage or blackmail opportunities.",speculative_scenario,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,low,Do not publish without evidence,
PA2025-074,integrated_hypothesis,"The case may involve both personal and operational motives.",working_hypothesis,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,low,Retain as hypothesis only,
PA2025-075,analytic_summary,"The case is best understood within a matrix of paranoia, covert rivalry, and operational ambiguity.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,low,Test against verified evidence before use,

